Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Offer,URL
PizzaByte,Pizzas,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/pizzabyte-arekere-bangalore-453245
Thalassery Restaurant,"South Indian, Biryani, Kerala, North Indian, Chinese",3.9,300,Arekere,NA,https://www.swiggy.com/restaurants/thalassery-restaurant-arekere-bilekahalli-bangalore-92892
Waffle Walle,"Waffle, Desserts, Ice Cream, European, American, Snacks, Beverages, Bakery",3.8,250,Arekere,NA,https://www.swiggy.com/restaurants/waffle-walle-bannerghatta-main-road-hulimavu-bangalore-17379
Kanti Sweets,Desserts,NA,100,Arekere,NA,https://www.swiggy.com/restaurants/kanti-sweets-bannerghatta-arekere-bangalore-69894
SLV REDDY MILITARY HOTEL,"Biryani, Indian",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/slv-reddy-military-hotel-arekere-j-p-nagar-bangalore-366453
L V IYENGARS BAKERY,"Bakery, Snacks, Sweets",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/l-v-iyengars-bakery-arekere-bangalore-488589
"Bombay Kulfi- Kulfis,Desserts, Icecream","Desserts, Ice Cream",NA,100,Arekere,NA,https://www.swiggy.com/restaurants/bombay-kulfi-kulfis-desserts-icecream-jp-nagar-j-p-nagar-bangalore-46916
Dosa Vilas,"Andhra, South Indian",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/dosa-vilas-arekere-bangalore-377688
Leon Grill,"American, Snacks, Turkish, Portuguese, Continental",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/leon-grill-arekere-bangalore-392745
MOMO JUNCTION,"Fast Food, Snacks",3.5,150,Arekere,NA,https://www.swiggy.com/restaurants/momo-junction-arekere-bangalore-392866
LunchBox - Meals and Thalis,"North Indian, Punjabi, Combo, Biryani, Healthy Food, Jain, Thalis, Indian, Mughl...",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/lunchbox-meals-and-thalis-main-road-arekere-bangalore-62901
The cake chef,"Bakery, Desserts",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/the-cake-chef-arekere-bangalore-421666
Meghana Foods,"Biryani, Andhra, South Indian, North Indian, Chinese, Seafood",NA,500,Arekere,NA,https://www.swiggy.com/restaurants/meghana-foods-arekere-bangalore-167101
Pandessert,Bakery,NA,250,Arekere,NA,https://www.swiggy.com/restaurants/pandessert-arekere-bangalore-527664
Babu idli,"South Indian, Biryani, Desserts",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/babu-idli-arekere-bangalore-503557
Shobha's Kitchen,Indian,NA,120,Arekere,NA,https://www.swiggy.com/restaurants/shobhas-kitchen-arekere-bangalore-506822
Kulfi and More,Ice Cream,NA,150,Arekere,NA,https://www.swiggy.com/restaurants/kulfi-and-more-arekere-bangalore-468881
Adiga's,"South Indian, North Indian, Chinese, Thalis, Fast Food, Juices, Desserts",NA,200,Arekere,NA,https://www.swiggy.com/restaurants/adigas-bilekahalli-panduranga-nagar-bangalore-1267
Mandarin bay,"Chinese, Asian",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/mandarin-bay-arekere-bangalore-421425
Kwality Walls Frozen Dessert and Ice Cream Shop,"Ice Cream, Desserts",NA,300,Arekere,NA,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-arekere-hulimavu-bangalore-319619
The Good Bowl,"North Indian, Punjabi, Biryani, Chinese, Beverages, Desserts, Jain, Indian, Hyde...",NA,400,Arekere,NA,https://www.swiggy.com/restaurants/the-good-bowl-main-road-arekere-bangalore-157790
The Pizzeria,"Italian, Salads, Pizzas, Fast Food",NA,600,Arekere,NA,https://www.swiggy.com/restaurants/the-pizzeria-akshayanagar-bangalore-6836
Hungry Bandar,North Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/hungry-bandar-arekere-bangalore-424939
BIHARI HOME MADE FOODS,Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/bihari-home-made-foods-arekere-bangalore-430131
Jaya Cafe,South Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/jaya-cafe-arekere-j-p-nagar-bangalore-373091
Wrapasta,American,NA,300,Arekere,NA,https://www.swiggy.com/restaurants/wrapasta-arekere-bangalore-429288
Wandercrust,"Pizzas, Italian",NA,350,Arekere,NA,https://www.swiggy.com/restaurants/wandercrust-5th-phase-arekere-bangalore-179485
Atharv Home Made Products,Indian,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/atharv-home-made-products-arekere-bangalore-434997
Jen & Jo Ice Cream,Ice Cream,NA,200,Arekere,NA,https://www.swiggy.com/restaurants/jen-and-jo-ice-cream-arekere-bangalore-412606
Peppy Parathas & Rolls By Chai Point,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi",NA,150,Arekere,NA,https://www.swiggy.com/restaurants/peppy-parathas-and-rolls-by-chai-point-jp-nagar-7th-phase-j-p-nagar-bangalore-481822
